pts,reb,ast,net_rating,usg_pct,ast_pct,was_mvp
3.9,1.4,0.2,-14.0,0.232,0.038,0
4.6,1.4,1.6,3.0,0.155,0.166,0
6.4,2.2,1.1,-2.5,0.177,0.093,0
6.0,2.5,0.7,-14.7,0.227,0.09,0
3.3,1.4,2.2,-3.3,0.16,0.277,0
8.4,1.9,2.2,-2.9,0.16,0.13699999999999998,0
10.3,4.0,5.1,-0.5,0.149,0.241,0
3.9,4.6,1.7,-6.2,0.151,0.209,0
2.7,1.2,0.1,-11.3,0.222,0.031,0
9.2,3.1,1.8,4.2,0.18600000000000005,0.125,0
8.3,3.2,2.1,-6.8,0.119,0.097,0
5.7,2.0,2.8,-8.5,0.163,0.195,0
1.7,2.0,0.0,13.9,0.18,0.0,0
4.6,1.1,1.0,-4.8,0.206,0.14400000000000002,0
7.0,5.4,0.8,-7.9,0.207,0.076,0
13.2,8.3,3.0,-9.2,0.196,0.152,0
5.0,7.2,1.0,-7.8,0.106,0.06,0
4.5,2.0,1.2,3.0,0.145,0.104,0
1.6,0.4,0.5,-2.4,0.23,0.271,0
0.6,0.4,0.0,-1.6,0.16899999999999998,0.0,0
11.0,5.3,2.7,2.0,0.182,0.14,0
11.1,3.0,4.3,-4.0,0.195,0.231,0
8.9,7.0,0.5,7.6,0.191,0.038,0
20.0,6.0,2.9,-1.9,0.274,0.146,0
0.9,1.1,0.1,-7.0,0.07400000000000001,0.02,0
1.5,2.3,0.4,-8.1,0.126,0.085,0
2.5,1.2,0.6,-2.5,0.172,0.108,0
8.9,3.9,1.5,-5.8,0.18600000000000005,0.121,0
6.0,7.3,0.7,4.3,0.136,0.043,0
17.5,7.0,1.2,-16.6,0.278,0.08800000000000001,0
2.4,2.4,0.4,-3.3,0.13699999999999998,0.054000000000000006,0
3.0,2.7,0.3,-0.3,0.223,0.08,0
11.3,6.6,4.0,6.4,0.19,0.183,0
1.9,4.8,0.3,-11.6,0.08900000000000001,0.035,0
3.4,2.3,0.2,5.2,0.138,0.027000000000000003,0
2.1,1.3,0.3,-3.2,0.181,0.087,0
10.1,3.9,5.5,-1.4,0.165,0.272,0
0.0,1.0,0.0,-27.5,0.08800000000000001,0.0,0
9.2,5.0,0.6,0.5,0.18,0.048,0
10.4,2.4,3.6,4.3,0.168,0.221,0
13.7,8.3,1.6,-1.5,0.259,0.105,0
12.0,7.9,1.5,-10.9,0.225,0.096,0
11.8,5.5,1.5,0.2,0.211,0.095,0
9.1,3.6,4.5,2.0,0.183,0.281,0
1.8,3.3,0.6,-0.3,0.147,0.096,0
11.5,4.0,2.9,-8.9,0.224,0.17600000000000002,0
4.0,2.6,0.7,-2.1,0.156,0.084,0
19.7,5.0,3.7,1.0,0.256,0.181,0
3.3,0.0,0.0,5.1,0.595,0.0,0
5.8,1.5,1.6,4.6,0.158,0.119,0
2.0,1.3,0.2,11.8,0.157,0.051,0
20.8,6.2,4.3,-9.0,0.259,0.194,0
11.6,6.2,9.1,5.1,0.17600000000000002,0.35600000000000004,0
2.9,1.9,1.0,-1.9,0.083,0.073,0
23.4,8.9,5.5,-1.9,0.292,0.261,0
3.8,1.8,1.1,11.9,0.175,0.14400000000000002,0
20.5,5.4,2.3,-4.2,0.29,0.14300000000000002,0
6.3,2.4,0.6,-4.2,0.151,0.052000000000000005,0
4.5,2.8,0.9,-4.3,0.13699999999999998,0.081,0
15.8,4.6,7.0,3.8,0.208,0.299,0
1.6,1.8,0.5,-8.2,0.104,0.075,0
1.8,2.0,0.0,-41.8,0.154,0.0,0
3.4,1.1,1.7,-14.6,0.159,0.233,0
2.0,0.5,0.4,7.6,0.114,0.062,0
4.7,4.1,1.2,-0.8,0.129,0.084,0
3.1,0.9,0.8,-9.8,0.205,0.16899999999999998,0
11.8,2.5,6.1,-0.4,0.179,0.29,0
20.4,3.3,2.5,-6.3,0.258,0.123,0
0.5,1.0,0.0,-6.9,0.128,0.0,0
3.1,1.9,0.3,-6.0,0.201,0.055,0
6.6,2.1,0.6,-14.6,0.183,0.055,0
11.0,3.5,2.3,-8.9,0.161,0.114,0
21.7,3.2,2.9,15.8,0.275,0.13699999999999998,0
7.5,2.1,1.9,9.2,0.194,0.182,0
4.8,1.0,2.1,-2.1,0.161,0.287,0
15.4,2.5,6.6,0.8,0.254,0.384,0
6.0,0.0,2.0,70.6,0.14,0.28600000000000003,0
8.1,2.0,4.3,-7.0,0.191,0.3,0
8.0,3.0,1.0,-19.8,0.149,0.053,0
4.7,3.5,0.6,4.0,0.181,0.069,0
5.7,3.4,0.4,-2.7,0.182,0.051,0
18.8,7.5,2.4,-3.5,0.234,0.118,0
6.0,2.7,0.9,-5.0,0.14300000000000002,0.062,0
20.3,3.2,5.9,6.5,0.246,0.274,0
4.8,1.4,2.2,-5.1,0.22,0.269,0
11.7,7.0,2.5,1.7,0.171,0.117,0
2.2,1.4,0.3,21.3,0.281,0.115,0
2.0,2.0,0.0,-5.9,0.139,0.0,0
2.7,0.7,0.2,-17.1,0.221,0.057,0
3.6,1.0,1.4,-2.8,0.13699999999999998,0.119,0
7.2,3.6,1.1,-3.3,0.154,0.07200000000000001,0
8.6,4.0,1.4,1.9,0.147,0.08800000000000001,0
6.2,3.6,1.1,-8.3,0.17800000000000002,0.092,0
4.0,2.4,1.1,-4.7,0.127,0.09,0
5.3,3.6,0.8,-2.3,0.174,0.08,0
13.5,12.7,1.4,-2.0,0.191,0.076,0
3.5,1.1,0.8,11.8,0.172,0.114,0
6.5,5.1,0.6,-3.7,0.157,0.045,0
2.3,1.9,0.3,-3.1,0.168,0.055,0
8.8,3.7,1.0,7.0,0.327,0.122,0
6.2,3.0,0.4,5.5,0.18600000000000005,0.044,0
1.4,0.9,0.0,-6.8,0.242,0.0,0
15.2,4.7,1.2,-6.0,0.223,0.067,0
8.5,5.6,1.2,0.9,0.151,0.085,0
15.5,3.9,5.2,-7.2,0.295,0.348,0
7.9,1.3,3.6,-15.1,0.198,0.28300000000000003,0
4.1,1.9,0.1,-19.9,0.233,0.03,0
6.7,1.6,2.7,1.4,0.18600000000000005,0.207,0
15.2,7.5,1.7,-2.4,0.191,0.08199999999999999,0
3.0,1.2,0.6,-6.4,0.168,0.116,0
16.8,7.0,1.7,5.4,0.207,0.076,0
5.8,4.2,1.1,-6.2,0.166,0.123,0
18.1,3.9,2.5,-2.4,0.241,0.12,0
5.6,2.0,0.4,5.8,0.224,0.063,0
2.5,2.1,0.7,2.9,0.119,0.102,0
3.0,0.0,0.0,250.0,0.5,0.0,0
7.9,2.2,4.7,-9.1,0.185,0.31,0
5.1,3.6,0.8,-10.0,0.14,0.085,0
2.5,2.2,0.8,-12.8,0.12,0.08800000000000001,0
10.3,6.4,1.3,4.1,0.197,0.08800000000000001,0
7.3,2.0,3.0,0.8,0.17800000000000002,0.257,0
12.5,3.1,5.2,7.4,0.212,0.269,0
3.5,3.3,0.5,-1.2,0.13,0.06,0
2.9,1.4,0.2,8.4,0.174,0.042,0
27.5,8.6,9.1,1.6,0.31,0.4320000000000001,0
2.8,1.3,0.3,-40.8,0.165,0.038,0
3.0,1.9,3.3,-5.5,0.125,0.327,0
2.4,1.2,0.7,-1.6,0.147,0.123,0
7.9,4.1,0.3,7.6,0.224,0.036000000000000004,0
4.6,1.7,0.4,-7.2,0.157,0.051,0
1.7,1.3,0.2,-22.4,0.109,0.042,0
4.1,1.2,1.6,-14.0,0.21,0.206,0
7.3,2.9,1.9,8.9,0.119,0.095,0
10.7,2.3,4.2,-1.9,0.221,0.28,0
10.3,10.2,1.3,-6.0,0.16,0.07,0
6.7,4.2,1.7,5.2,0.142,0.097,0
4.9,3.6,0.4,-5.1,0.165,0.035,0
2.9,3.5,0.5,-10.5,0.115,0.056,0
2.3,2.2,0.1,-7.8,0.14300000000000002,0.025,0
10.3,6.1,1.9,-6.5,0.174,0.112,0
4.6,2.3,0.5,-8.9,0.266,0.129,0
1.2,1.4,0.6,-11.2,0.145,0.12,0
4.4,5.7,1.7,1.1,0.111,0.11,0
18.1,10.1,3.4,-5.4,0.24,0.161,0
1.9,2.3,0.5,3.2,0.1,0.07400000000000001,0
